system:index,bedrock,clay,dem,erosion,hand,latitude,longitude,precip,sand,slope,soc,spatial_fold,suit_score,twi,typhoon,.geo
35,0.0,28.0,494.0,12.87657642364502,427.0,18.590050079189254,109.47073247757538,2109.447021484375,48.0,1.0825767517089844,6.0,1.0,0.5988758159612259,13.4086275100708,46.0,"{""type"":""Point"",""coordinates"":[109.46907153289692,18.58810124648205]}"
36,0.0,22.0,31.0,5.485373020172119,32.0,19.88362408832137,109.65937868724046,1796.272705078125,43.0,0.057359881699085236,2.0,4.0,0.7382241340343576,16.659883499145508,34.0,"{""type"":""Point"",""coordinates"":[109.66000693037671,19.88454762950848]}"
37,0.0,26.0,506.0,75.16007995605469,477.0,18.720305795386587,109.93785642531753,2452.71533203125,48.0,14.176953315734863,4.0,1.0,0.5672259857969136,10.806183815002441,47.0,"{""type"":""Point"",""coordinates"":[109.93871005879517,18.719724775454154]}"
38,0.0,24.0,4.0,14.88713550567627,6.0,19.18742974312874,110.47684559578926,2689.059326171875,48.0,0.4176870584487915,2.0,2.0,0.7887468412823981,14.670985221862793,40.0,"{""type"":""Point"",""coordinates"":[110.47682086688712,19.188676616431252]}"
39,0.0,25.0,165.0,82.00411224365234,161.0,18.473269092253716,109.65488711081986,2264.468505859375,50.0,15.982309341430664,3.0,1.0,0.5832692260406147,10.92251205444336,44.0,"{""type"":""Point"",""coordinates"":[109.6549218997202,18.472007695702956]}"
40,0.0,30.0,430.0,42.96533203125,384.0,18.697847913283596,109.58302188809029,2237.180908203125,47.0,7.335126876831055,4.0,1.0,0.5737716425196787,11.539554595947266,49.0,"{""type"":""Point"",""coordinates"":[109.5842845001244,18.697839375470007]}"
41,0.0,27.0,106.0,21.523263931274414,106.0,19.340143341429055,108.88233596647706,1681.9705810546875,49.0,4.352654933929443,4.0,3.0,0.6027395464091749,12.28420352935791,42.0,"{""type"":""Point"",""coordinates"":[108.8818735525181,19.342373146351793]}"
42,0.0,27.0,13.0,14.799911499023438,16.0,19.007766686304834,110.51726978357459,2297.978271484375,38.0,0.8052111268043518,5.0,2.0,0.7641660549743627,14.00930404663086,39.0,"{""type"":""Point"",""coordinates"":[110.5187898273939,19.007796563207457]}"
43,0.0,30.0,153.0,6.838428974151611,24.0,18.778696288854356,109.22369577444249,1846.111083984375,40.0,0.3113425076007843,3.0,1.0,0.698027100503816,14.894797325134277,44.0,"{""type"":""Point"",""coordinates"":[109.22578432594055,18.78065572827978]}"
44,0.0,30.0,78.0,8.858705520629883,78.0,19.537772703935353,109.17878001023655,1981.169921875,46.0,0.5303816199302673,3.0,3.0,0.6855594610704899,14.407913208007812,36.0,"{""type"":""Point"",""coordinates"":[109.1788414267337,19.537128892559814]}"
45,0.0,26.0,192.0,20.224145889282227,173.0,18.643948996236425,109.0260664119362,1816.5008544921875,45.0,3.1331355571746826,4.0,1.0,0.5868128696513941,12.560221672058105,47.0,"{""type"":""Point"",""coordinates"":[109.02698118913047,18.644596976215652]}"
46,0.0,28.0,58.0,8.838425636291504,56.0,19.838708324115387,110.31065726822715,2273.386962890625,43.0,0.19171778857707977,7.0,4.0,0.7375246854264608,15.160274505615234,35.0,"{""type"":""Point"",""coordinates"":[110.30998187531297,19.838229459184728]}"
47,0.0,28.0,268.0,16.02006721496582,203.0,19.23683708375531,109.98277218952347,2722.97509765625,42.0,0.5303300619125366,5.0,2.0,0.6785873182295211,14.287535667419434,38.0,"{""type"":""Point"",""coordinates"":[109.9844504693057,19.23543060580041]}"
48,0.0,30.0,1060.0,30.9162654876709,1006.0,19.0751403326138,109.11140636392759,1989.575927734375,48.0,11.912880897521973,8.0,2.0,0.5583803753955416,10.39822006225586,39.0,"{""type"":""Point"",""coordinates"":[109.11357199673093,19.075729181410527]}"
49,0.0,27.0,91.0,13.99174690246582,61.0,19.55573900961774,110.06811214151486,2620.673095703125,46.0,0.4299336075782776,4.0,3.0,0.7461378003832381,14.610093116760254,35.0,"{""type"":""Point"",""coordinates"":[110.0661497610872,19.557196913501738]}"
50,0.0,38.0,803.0,9.634171485900879,634.0,18.985308804201843,109.30903572643388,1915.8411865234375,33.0,0.9937329888343811,5.0,2.0,0.5902721534289519,13.212407112121582,41.0,"{""type"":""Point"",""coordinates"":[109.30927016204994,18.985018450169843]}"
